[rosmaster.main][INFO] 2023-09-07 19:27:03,978: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-07 19:27:03,979: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-07 19:27:03,979: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-07 19:27:03,980: Started XML-RPC server [http://segbot:11311/]
[rosmaster.master][INFO] 2023-09-07 19:27:03,980: Master initialized: port[11311], uri[http://segbot:11311/]
[xmlrpc][INFO] 2023-09-07 19:27:03,980: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-07 19:27:03,983: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-07 19:27:03,984: +PARAM [/roslaunch/uris/host_segbot__37805] by /roslaunch
[rosmaster.master][INFO] 2023-09-07 19:27:04,196: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-07 19:27:04,197: +PARAM [/controller_stopper/consistent_controllers] by /roslaunch
[rosmaster.master][INFO] 2023-09-07 19:27:04,197: +PARAM [/scaled_vel_joint_traj_controller/constraints/wrist_1_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2023-09-07 19:27:04,197: +PARAM [/ur_hardware_interface/kinematics/wrist_1/yaw] by /roslaunch
[rosmaster.master][INFO] 2023-09-07 19:27:04,197: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2023-09-07 19:27:04,197: +PARAM [/vel_joint_traj_controller/velocity_ff/shoulder_pan_joint] by /roslaunch
[rosmaster.master][INFO] 2023-09-07 19:27:04,197: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-07 19:27:04,197: +PARAM [/aruco_tracker/marker_frame] by /roslaunch
[rosmaster.master][INFO] 2023-09-07 19:27:04,198: +SERVICE [/rosout/get_loggers] /rosout http://segbot:44087/
[rosmaster.master][INFO] 2023-09-07 19:27:04,198: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-09-07 19:27:04,198: +PARAM [/scaled_vel_joint_traj_controller/constraints/shoulder_pan_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2023-09-07 19:27:04,198: +SERVICE [/rosout/set_logger_level] /rosout http://segbot:44087/
[rosmaster.master][INFO] 2023-09-07 19:27:04,198: +PARAM [/scaled_vel_joint_traj_controller/gains/shoulder_pan_joint/d] by /roslaunch
