[rosmaster.main][INFO] 2023-09-08 16:29:16,905: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-08 16:29:16,905: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-08 16:29:16,906: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-08 16:29:16,906: Started XML-RPC server [http://segbot:11311/]
[rosmaster.master][INFO] 2023-09-08 16:29:16,906: Master initialized: port[11311], uri[http://segbot:11311/]
[xmlrpc][INFO] 2023-09-08 16:29:16,906: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-08 16:29:16,982: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:16,984: +PARAM [/roslaunch/uris/host_segbot__34295] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,229: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,230: +PARAM [/controller_stopper/consistent_controllers] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,230: +PARAM [/scaled_vel_joint_traj_controller/constraints/wrist_1_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,230: +PARAM [/ur_hardware_interface/kinematics/wrist_1/yaw] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,230: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,230: +PARAM [/vel_joint_traj_controller/velocity_ff/shoulder_pan_joint] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,230: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,231: +PARAM [/aruco_tracker/marker_frame] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,231: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,231: +PARAM [/scaled_vel_joint_traj_controller/constraints/shoulder_pan_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,231: +SERVICE [/rosout/get_loggers] /rosout http://segbot:41361/
[rosmaster.master][INFO] 2023-09-08 16:29:17,231: +PARAM [/scaled_vel_joint_traj_controller/gains/shoulder_pan_joint/d] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,232: +PARAM [/pose_based_cartesian_traj_controller/base] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,232: +SERVICE [/rosout/set_logger_level] /rosout http://segbot:41361/
[rosmaster.master][INFO] 2023-09-08 16:29:17,232: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,232: +PARAM [/scaled_vel_joint_traj_controller/gains/shoulder_pan_joint/i] by /roslaunch
[rosmaster.master][INFO] 2023-09-08 16:29:17,233: +PARAM [/ur_hardware_interface/kinematics/forearm/roll] by /roslaunch
