[rosmaster.main][INFO] 2023-09-14 16:01:55,085: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-14 16:01:55,085: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-14 16:01:55,085: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-14 16:01:55,086: Started XML-RPC server [http://segbot:11311/]
[rosmaster.master][INFO] 2023-09-14 16:01:55,086: Master initialized: port[11311], uri[http://segbot:11311/]
[xmlrpc][INFO] 2023-09-14 16:01:55,086: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-14 16:01:55,143: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 16:01:55,144: +PARAM [/roslaunch/uris/host_segbot__35425] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 16:01:55,389: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 16:01:55,389: +SERVICE [/rosout/get_loggers] /rosout http://segbot:36353/
[rosmaster.master][INFO] 2023-09-14 16:01:55,389: +PARAM [/controller_stopper/consistent_controllers] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 16:01:55,390: +PARAM [/scaled_vel_joint_traj_controller/constraints/wrist_1_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 16:01:55,390: +SERVICE [/rosout/set_logger_level] /rosout http://segbot:36353/
[rosmaster.master][INFO] 2023-09-14 16:01:55,390: +PARAM [/ur_hardware_interface/kinematics/wrist_1/yaw] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 16:01:55,390: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 16:01:55,390: +PARAM [/vel_joint_traj_controller/velocity_ff/shoulder_pan_joint] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 16:01:55,390: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 16:01:55,390: +PARAM [/aruco_tracker/marker_frame] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 16:01:55,391: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
