[rosmaster.main][INFO] 2023-09-11 14:05:31,081: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-11 14:05:31,081: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-11 14:05:31,082: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-11 14:05:31,082: Started XML-RPC server [http://segbot:11311/]
[rosmaster.master][INFO] 2023-09-11 14:05:31,082: Master initialized: port[11311], uri[http://segbot:11311/]
[xmlrpc][INFO] 2023-09-11 14:05:31,083: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-11 14:05:31,092: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-11 14:05:31,093: +PARAM [/roslaunch/uris/host_segbot__41151] by /roslaunch
[rosmaster.master][INFO] 2023-09-11 14:05:31,309: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-11 14:05:31,310: +PARAM [/controller_stopper/consistent_controllers] by /roslaunch
[rosmaster.master][INFO] 2023-09-11 14:05:31,310: +PARAM [/scaled_vel_joint_traj_controller/constraints/wrist_1_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2023-09-11 14:05:31,310: +PARAM [/ur_hardware_interface/kinematics/wrist_1/yaw] by /roslaunch
[rosmaster.master][INFO] 2023-09-11 14:05:31,310: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2023-09-11 14:05:31,310: +PARAM [/vel_joint_traj_controller/velocity_ff/shoulder_pan_joint] by /roslaunch
[rosmaster.master][INFO] 2023-09-11 14:05:31,310: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-11 14:05:31,310: +SERVICE [/rosout/get_loggers] /rosout http://segbot:45409/
[rosmaster.master][INFO] 2023-09-11 14:05:31,310: +PARAM [/aruco_tracker/marker_frame] by /roslaunch
