[rosmaster.main][INFO] 2023-09-14 15:56:38,964: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-14 15:56:38,964: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-14 15:56:38,964: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2023-09-14 15:56:38,965: Master initialized: port[11311], uri[http://segbot:11311/]
[xmlrpc][INFO] 2023-09-14 15:56:38,965: Started XML-RPC server [http://segbot:11311/]
[xmlrpc][INFO] 2023-09-14 15:56:38,965: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-14 15:56:39,024: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:56:39,025: +PARAM [/roslaunch/uris/host_segbot__36175] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:56:39,258: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:56:39,258: +SERVICE [/rosout/get_loggers] /rosout http://segbot:38357/
[rosmaster.master][INFO] 2023-09-14 15:56:39,259: +PARAM [/controller_stopper/consistent_controllers] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:56:39,259: +PARAM [/scaled_vel_joint_traj_controller/constraints/wrist_1_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:56:39,259: +SERVICE [/rosout/set_logger_level] /rosout http://segbot:38357/
[rosmaster.master][INFO] 2023-09-14 15:56:39,259: +PARAM [/ur_hardware_interface/kinematics/wrist_1/yaw] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:56:39,259: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:56:39,259: +PARAM [/vel_joint_traj_controller/velocity_ff/shoulder_pan_joint] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:56:39,260: +PUB [/rosout_agg] /rosout http://segbot:38357/
[rosmaster.master][INFO] 2023-09-14 15:56:39,260: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:56:39,260: +PARAM [/aruco_tracker/marker_frame] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:56:39,260: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
