[rosmaster.main][INFO] 2023-09-14 15:50:32,631: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-09-14 15:50:32,631: Starting ROS Master Node
[xmlrpc][INFO] 2023-09-14 15:50:32,631: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-09-14 15:50:32,631: Started XML-RPC server [http://segbot:11311/]
[rosmaster.master][INFO] 2023-09-14 15:50:32,632: Master initialized: port[11311], uri[http://segbot:11311/]
[xmlrpc][INFO] 2023-09-14 15:50:32,632: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-09-14 15:50:32,692: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,692: +PARAM [/roslaunch/uris/host_segbot__45299] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,914: +PARAM [/move_group/planner_configs/TRRT/temp_change_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,914: +PARAM [/controller_stopper/consistent_controllers] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,914: +PARAM [/scaled_vel_joint_traj_controller/constraints/wrist_1_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,915: +PARAM [/ur_hardware_interface/kinematics/wrist_1/yaw] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,915: +PARAM [/robot_description_planning/joint_limits/shoulder_pan_joint/has_velocity_limits] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,915: +PARAM [/vel_joint_traj_controller/velocity_ff/shoulder_pan_joint] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,915: +PARAM [/move_group/planner_configs/EST/type] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,915: +PARAM [/aruco_tracker/marker_frame] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,915: +SERVICE [/rosout/get_loggers] /rosout http://segbot:39785/
[rosmaster.master][INFO] 2023-09-14 15:50:32,915: +PARAM [/move_group/planner_configs/STRIDE/use_projected_distance] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,916: +PARAM [/scaled_vel_joint_traj_controller/constraints/shoulder_pan_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,916: +SERVICE [/rosout/set_logger_level] /rosout http://segbot:39785/
[rosmaster.master][INFO] 2023-09-14 15:50:32,916: +PARAM [/scaled_vel_joint_traj_controller/gains/shoulder_pan_joint/d] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,916: +PARAM [/pose_based_cartesian_traj_controller/base] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,917: +PARAM [/move_group/max_safe_path_cost] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,917: +PUB [/rosout_agg] /rosout http://segbot:39785/
[rosmaster.master][INFO] 2023-09-14 15:50:32,917: +PARAM [/scaled_vel_joint_traj_controller/gains/shoulder_pan_joint/i] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,917: +PARAM [/ur_hardware_interface/kinematics/forearm/roll] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,917: +PARAM [/vel_joint_traj_controller/constraints/wrist_3_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,918: +PARAM [/ur_hardware_interface/kinematics/wrist_2/yaw] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,918: +PARAM [/scaled_vel_joint_traj_controller/gains/shoulder_pan_joint/p] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,918: +PARAM [/pos_joint_traj_controller/constraints/shoulder_lift_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,918: +PARAM [/ur_hardware_interface/headless_mode] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,919: +SUB [/rosout] /rosout http://segbot:39785/
[rosmaster.master][INFO] 2023-09-14 15:50:32,919: +PARAM [/vel_joint_traj_controller/constraints/shoulder_pan_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,919: +PARAM [/move_group/joint_state_controller/publish_rate] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,919: +PARAM [/move_group/planner_configs/SPARStwo/max_failures] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,919: +PARAM [/move_group/planner_configs/KPIECE/failed_expansion_score_factor] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,919: +PARAM [/move_group/planner_configs/RRTstar/goal_bias] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,919: +PARAM [/vel_joint_traj_controller/constraints/wrist_1_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,919: +PARAM [/pos_joint_traj_controller/constraints/wrist_3_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,919: +PARAM [/move_group/planner_configs/TRRT/min_temperature] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,920: +PARAM [/scaled_vel_joint_traj_controller/gains/elbow_joint/i] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,920: +PARAM [/scaled_vel_joint_traj_controller/gains/shoulder_lift_joint/i] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,920: +PARAM [/vel_joint_traj_controller/constraints/wrist_2_joint/trajectory] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,920: +PARAM [/pos_joint_traj_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,920: +PARAM [/scaled_vel_joint_traj_controller/gains/shoulder_lift_joint/d] by /roslaunch
[rosmaster.master][INFO] 2023-09-14 15:50:32,920: +PARAM [/scaled_vel_joint_traj_controller/gains/shoulder_lift_joint/p] by /roslaunch
