[rospy.client][INFO] 2023-09-14 15:42:17,139: init_node, name[/ur_grasp_node_24342_1694720537064], pid[24342]
[xmlrpc][INFO] 2023-09-14 15:42:17,139: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2023-09-14 15:42:17,140: Started XML-RPC server [http://segbot:44901/]
[rospy.init][INFO] 2023-09-14 15:42:17,140: ROS Slave URI: [http://segbot:44901/]
[rospy.impl.masterslave][INFO] 2023-09-14 15:42:17,140: _ready: http://segbot:44901/
[xmlrpc][INFO] 2023-09-14 15:42:17,140: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2023-09-14 15:42:17,140: Registering with master node http://localhost:11311
[rospy.init][INFO] 2023-09-14 15:42:17,240: registered with master
[rospy.rosout][INFO] 2023-09-14 15:42:17,240: initializing /rosout core topic
[rospy.rosout][INFO] 2023-09-14 15:42:17,242: connected to core topic /rosout
[rospy.simtime][INFO] 2023-09-14 15:42:17,242: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2023-09-14 15:42:18,410: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2023-09-14 15:42:18,419: topic[/tf_static] adding connection to [http://segbot:39159/], count 0
[rospy.internal][INFO] 2023-09-14 15:42:18,420: topic[/tf_static] adding connection to [http://segbot:32959/], count 0
[rospy.internal][INFO] 2023-09-14 15:42:18,420: topic[/tf] adding connection to [http://segbot:37647/], count 0
[rospy.internal][INFO] 2023-09-14 15:42:18,420: topic[/tf] adding connection to [http://segbot:42671/], count 0
[rospy.internal][INFO] 2023-09-14 15:42:18,422: topic[/tf] adding connection to [http://segbot:32959/], count 2
[rospy.internal][INFO] 2023-09-14 15:42:18,438: topic[/Robotiq2FGripperRobotOutput] adding connection to [/robotiq2FGripper], count 0
[rospy.internal][INFO] 2023-09-14 15:42:18,511: topic[/collision_object] adding connection to [/move_group], count 0
[rospy.internal][INFO] 2023-09-14 15:42:18,512: topic[/attached_collision_object] adding connection to [/move_group], count 0
